ending	size	none	gzip	bzip2	lzma	snappy	deflate	lz4	lz4hc	pfor
AVI	102400	2562	7421856	24250952	27252632	179325	5308750	584453	3332882	2016856
AVI	102400	2561	5714610	25591132	32783159	235684	5200057	417205	3301775	2042108
AVI	102400	2196	11334068	24298895	38049091	190304	10908079	382803	3463533	2092612
AVI	102400	1830	5016340	30559164	31036754	182618	6674547	473198	3349350	3174783
AVI	102400	2562	5406464	24996431	33620498	182253	5405732	670822	3257493	2692070
AVI	102400	2562	5166388	26732224	28103511	186279	5346079	378778	3818889	2230216
AVI	102400	2562	5157239	35136707	33008231	208603	5197495	436235	3430230	2683286
AVI	102400	2195	5573346	25032663	25067064	195427	12802702	405493	3322269	2355378
AVI	102400	2562	5081117	25302748	25395338	178959	5023294	456729	3153557	2116400
AVI	102400	2195	14406380	26071649	26563512	181886	5184686	379876	4251099	2039546
AVI	102400	2196	5745718	25080239	24580325	215922	5294477	406591	8854626	2322806
AVI	102400	2562	5135647	37701421	33076301	186644	5104173	388293	3286770	2381362
AVI	102400	2196	5231164	25682624	36576797	184449	5113688	408055	3601869	1965254
AVI	102400	2195	5450746	25590034	34199094	198356	16017376	378778	3284574	3488053
AVI	102400	2196	5148821	27667642	28403606	182619	5252757	5684235	3249075	2046134
AVI	102400	3659	5375357	25141355	27007799	174567	14256698	432210	3590891	2576424
AVI	102400	2196	5873075	24870539	24400634	181887	5695579	386464	3397293	2217773
AVI	102400	2195	5324120	24810520	33426899	188840	5048912	417571	3496105	1979162
AVI	102400	2562	5216159	32175650	26220233	189206	5452576	446117	3236266	2359038
AVI	102400	2196	5301796	24575934	25042543	189572	5820375	455266	3608822	2056747
AVI	102400	2562	5324487	27771943	30838033	189938	5373893	442823	3472682	2094442
AVI	102400	2196	5222747	36778812	39926147	180789	6439229	386097	3090610	1981723
AVI	102400	1830	5195300	34334869	25864511	190670	5171511	468806	9572291	2073215
AVI	102400	2196	5153579	25314825	26985475	193232	5771701	417571	3336908	2610824
AVI	102400	2195	5562733	24645834	41079682	176398	5209573	396711	3204427	2051623
AVI	102400	2196	5859534	25620776	25676037	236782	5260808	407324	3420348	2066629
AVI	102400	2196	6020194	38502527	33977318	229462	5175172	470636	3222725	1967451
AVI	102400	3294	10661782	24967886	24672183	184083	5840504	379876	3376798	1995264
AVI	102400	2196	5213598	25179783	27756206	196160	5207377	391588	3224189	2179713
AVI	102400	2196	8149770	31173993	25456455	177129	5278374	373289	3188690	1979528
AVI	102400	2196	5193835	23987821	40415082	237880	14074812	400005	3340568	2514941
AVI	102400	2561	5320095	25477681	30431075	224705	5661179	383901	3703243	2085659
AVI	102400	2196	5122472	25577225	45368476	177861	5323754	479420	3369113	2447236
AVI	102400	2562	5255319	25191493	26802124	176763	5624581	456364	3119156	2125915
AVI	102400	2561	5221649	35262601	37231882	184814	5247633	417937	4770409	2290967
AVI	102400	2196	5118812	28837645	25028637	188840	5729249	413545	3470121	1968183
AVI	102400	2196	5238484	36969482	24355985	229829	5614334	439529	10264706	2232046
AVI	102400	2561	5232628	26798464	26284643	177495	5151018	401103	3303604	2051258
AVI	102400	2561	5518817	31291469	34964336	205675	4924848	466244	3468657	2449798
AVI	102400	2562	12663268	25520865	34330112	174202	5288621	371093	3286037	2094442
AVI	102400	2196	15406574	30952947	25991502	187376	5183588	394881	3494274	2052721
AVI	102400	2195	6689186	31642067	36635718	185912	5144795	394515	3161242	2084195
AVI	102400	2928	17590678	25411075	33833125	235684	5312409	392319	3738742	2259494
AVI	102400	2562	6042885	42565152	24279132	188840	5315338	379144	9944848	3344959
AVI	102400	2195	5205181	26289035	34030749	187743	7585079	378412	3280549	2117864
AVI	102400	2928	6686624	31030533	27136254	197623	8825349	400004	4017244	2008440
AVI	102400	2195	5245438	24631927	26455917	174934	5856606	403298	3186495	2414299
AVI	102400	2195	5445989	25711901	26246217	204577	5109297	491131	3474512	2897013
AVI	102400	2562	5170779	26872025	34613737	189938	12762812	359748	3255297	1964888
AVI	102400	1829	5204449	33400916	30644801	427818	5214696	435503	4083485	2055283
AVI	102400	2196	7212888	26376502	26407244	193597	5084777	451240	3208818	2087123
AVI	102400	2928	5582129	31425780	35977339	193964	5660080	1035693	3327759	2075777
